Mods count: 227
 
jar name                                                                            | mod id (isMCreator)                    | mixin configs
fmlloader-1.20.1-47.4.9.jar (modloader)                                             | forge                                  | 
AdLods-1.20.1-8.1.7.0-build.1496.jar                                                | adlods                                 | adlods.mixins.json
AdvancedAE-1.2.6-1.20.1.jar                                                         | advanced_ae                            | mixins.aae.json, mixins.aae.refmap.json
AE2-Things-1.2.1.jar                                                                | ae2things                              | mixins.ae2things.refmap.json, mixins.ae2things.json
ae2ct-1.20.1-1.1.0.jar                                                              | ae2ct                                  | ae2ct.mixins.json
ae2insertexportcard-1.20.1-1.3.0.jar                                                | ae2insertexportcard                    | ae2insertexportcard.mixins.json
ae2wtlib-15.3.0-forge.jar                                                           | ae2wtlib                               | ae2wtlib.mixins.refmap.json, ae2wtlib.mixins.json
AEInfinityBooster-1.20.1-1.0.0+51.jar                                               | aeinfinitybooster                      | AEInfinityBooster.mixins.json
allthearcanistgear-1.20.1-20.0.0.jar                                                | allthearcanistgear                     | allthearcanistgear.mixins.json
allthecompressed-1.20.1-3.0.2.jar                                                   | allthecompressed                       | 
alltheleaks-1.0.4+1.20.1-forge.jar                                                  | alltheleaks                            | alltheleaks.mixins.json
allthemodium-1.20.1-47.1.25-2.5.6.jar                                               | allthemodium                           | allthemodium.mixins.json
alltheores-1.20.1-47.1.3-2.2.4.jar                                                  | alltheores                             | 
allthetweaks-1.20.1-47.2.20-2.3.2.jar                                               | allthetweaks                           | allthetweaks.mixins.json
almostunified-forge-1.20.1-0.10.1.jar                                               | almostunified                          | almostunified-common.mixins.json
Apotheosis-1.20.1-7.4.8.jar                                                         | apotheosis                             | apotheosis.mixins.json
ApothicAttributes-1.20.1-1.3.7.jar                                                  | attributeslib                          | attributeslib.mixins.json
appleskin-forge-mc1.20.1-2.5.1.jar                                                  | appleskin                              | 
Applied-Mekanistics-1.4.2.jar                                                       | appmek                                 | 
appliedenergistics2-forge-15.4.8.jar                                                | ae2                                    | ae2.mixins.refmap.json, ae2.mixins.json
AppliedFlux-1.20-1.3.2-forge.jar                                                    | appflux                                | mixins.appflux.refmap.json, mixins.appflux.json
architectury-9.2.14-forge.jar                                                       | architectury                           | architectury.mixins.json, architectury-common.mixins.json
ars_nouveau-1.20.1-4.12.7-all.jar                                                   | ars_nouveau                            | ars_nouveau.mixins.json
    /META-INF/jarjar/geckolib-forge-1.20.1-4.4.4.jar                                | geckolib                               | geckolib.mixins.json
        /META-INF/jarjar/mclib-20.jar                                               |                                        | 
athena-forge-1.20.1-3.1.2.jar                                                       | athena                                 | athena-forge.mixins.json, athena.mixins.json
AttributeFix-Forge-1.20.1-21.0.4.jar                                                | attributefix                           | attributefix.mixins.json
backpack_allthemodium_upgrade-2.1.jar                                               | backpack_allthemodium_upgrade          | 
BadOptimizations-2.3.0-1.20.1.jar                                                   | badoptimizations                       | forge-badoptimizations.mixins.json, fabric-badoptimizations.mixins.json
balm-forge-1.20.1-7.3.35-all.jar                                                    | balm                                   | balm.mixins.json
    /META-INF/jarjar/kuma-api-forge-20.1.11+1.20.1.jar                              | kuma_api                               | kuma_api.forge.mixins.json, kuma_api.mixins.json
betterchunkloading-1.20.1-5.4.jar                                                   | betterchunkloading                     | betterchunkloading.mixins.json
Bookshelf-Forge-1.20.1-20.2.13.jar                                                  | bookshelf                              | bookshelf.forge.mixins.json, bookshelf.common.mixins.json
BrandonsCore-1.20.1-3.2.1.302-universal.jar                                         | brandonscore                           | mixins.brandonscore.json, mixins.brandonscore.refmap.json
buildinggadgets2-1.0.8.jar                                                          | buildinggadgets2                       | 
bwncr-forge-1.20.1-3.17.2.jar                                                       | bwncr                                  | 
caelus-forge-3.2.0+1.20.1.jar                                                       | caelus                                 | caelus.mixins.json
CBMultipart-1.20.1-3.3.0.146-universal.jar                                          | cb_multipart                           | mixins.cbmultipart.json, mixins.cbmultipart.refmap.json
charginggadgets-1.11.0.jar                                                          | charginggadgets                        | 
chipped-forge-1.20.1-3.0.7.jar                                                      | chipped                                | chipped-common.mixins.json
chisel-forge-2.0.0+mc1.20.1.jar                                                     | chisel                                 | chisel.mixins.json, chisel.forge.mixins.json
chisel_chipped_integration-v1.1.6-1.20.1.jar                                        | chisel_chipped_integration             | 
chloride-FORGE-mc1.20.1-v1.7.2.jar                                                  | chloride                               | chloride.mixin.json, chloride.mixin-refmap.json
cleanswing-1.20-1.8.jar                                                             | cleanswing                             | 
cloth-config-11.1.136-forge.jar                                                     | cloth_config                           | 
Clumps-forge-1.20.1-12.0.0.4.jar                                                    | clumps                                 | clumps.mixins.json
CodeChickenLib-1.20.1-4.4.0.516-universal.jar                                       | codechickenlib                         | mixins.codechickenlib.refmap.json, mixins.codechickenlib.json
colorfulhearts-forge-1.20.1-4.3.16.jar                                              | colorfulhearts                         | colorfulhearts-common.mixins.json, colorfulhearts-forge.mixins.json
common-networking-forge-1.0.5-1.20.1.jar                                            | commonnetworking                       | 
CommonCapabilities-1.20.1-2.9.8.jar                                                 | commoncapabilities                     | 
compactmachines-forge-6.0.3.jar                                                     | compactmachines                        | 
    /META-INF/jarjar/core-0.1.9.jar                                                 |                                        | 
    /META-INF/jarjar/jnanoid-2.0.0.jar                                              |                                        | 
    /META-INF/jarjar/levels-0.1.9.jar                                               |                                        | gander_levels.mixins.json
    /META-INF/jarjar/rendering-0.1.9.jar                                            |                                        | gander_render.mixins.json
    /META-INF/jarjar/ui-0.1.9.jar                                                   |                                        | 
configured-forge-1.20.1-2.2.3.jar                                                   | configured                             | configured.common.mixins.json
connectedglass-1.1.14-forge-mc1.20.1.jar                                            | connectedglass                         | 
connectivity-1.20.1-7.1.jar                                                         | connectivity                           | connectivity.mixins.json
Controlling-forge-1.20.1-12.0.2.jar                                                 | controlling                            | controlling.mixins.json, controlling.forge.mixins.json
coroutil-forge-1.20.1-1.3.7.jar                                                     | coroutil                               | coroutil.mixins.json, coroutil_fabric.mixins.json
